Record ID,Title:,Publication year:,First author surname:,Is the article a relevant review?,Was the article published in or after 2004?,Is the article method empirical?,Is the article peer reviewed?,Is the article written in English?,Does the article describe a real world healthcare system or healthcare setting?,"Does the article describe an adaptation, response, or preparation for the impacts of pandemics OR climate change?","Does the article describe an IS model, theory, or framework in relation to the above response OR describe an IS-based tool to evaluate the response?",Additional notes about excluded study.,"Does the paper focus on a climate hazard(s), a pandemic(s), or both?",pandemic_type,Other pandemic event,What climate hazard does the article describe?,Other climate event,Does the article describe a response to a specific climate event e.g. Hurricane Katrina,Name of event(s),system_level,Comments,system_country,setting_type,Other health setting,aim,method,sites,implementation_science,Reason for 'unsure' rating:  ,nielsen_outcomes,process_model,implementation_theory,determinant_framework,classic_theory,evaluation_framework,implementation_stage,For how long?,proctor_outcomes,service_outcomes,client_oucomes,implementation_outcomes,Additional notes,Complete?
179,Rapid-cycle designs to adapt interventions for COVID-19 in safety-net healthcare systems,2023,Schlechter,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,USA,Primary care ,,"""The purpose of this paper is to describe the application of a rapid-cycle design and adaptation process from an ongoing trial to address COVID-19 among safety-net healthcare system patients.""",Mixed-methods,Multi-site,"Process model,Determinant framework,Classic theory,Evaluation framework",,"PDSA, CFIR, Social Cognitive Theory, Complexity Theory, RE-AIM",PDSA,,CFIR,"Social Cognitive Theory, Complexity Theory,",RE-AIM,"Pre,During,Post",,Implementation outcomes,,,"Acceptability,Adoption,Appropriateness,Penetration",Really good IS paper - maybe rip out for a case study in the review?,Complete
180,Adaptation of a community health outreach model during the COVID-19 pandemic: the case of the Mexican consulates in the United States of America,2023,Gaitan-Rossi,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,,USA,Outreach program,,"""The Ventanillas de Salud (VDS - ""Health Windows"") are a culturally sensitive outreach program within the 49 Mexican Consulates in the United States that provides information and health care navigation support to underserved and uninsured Mexican immigrants. During the COVID-19 pandemic the VDS rapidly transitioned to remote operations adding new services. Based on the EquIR implementation framework, this qualitative study investigates how adaptations to improve emergency preparedness were performed.""",Qualitative,Multi-site,Determinant framework,,EquIR Framework,,,EquIR Framework,,,Post,,Implementation outcomes,,,"Acceptability,Adoption,Appropriateness,Cost,Feasibility,Fidelity,Penetration,Sustainability","EquIR Framework (components = context and needs, strategies for innovation, implementation outcomes, and equity outcomes; Implementation outcomes = acceptability, adoption, appropriateness, feasibility, fidelity, implementation cost, coverage, and sustainability)",Complete
184,Care-seeking behaviours of mothers and associated factors for possible serious bacterial infection in young infants during COVID-19 pandemic in Ethiopia: mixed-methods formative research,2023,Tiruneh,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,,Ethiopia,Primary care ,,"""Implementation research was employed to examine rates and contextual factors associated with mothers' care-seeking for their sick neonates and identify challenges for community-based possible serious bacterial infection (PSBI) services access and implementation during the COVID-19 pandemic.""",Mixed-methods,Multi-site,"Process model,Determinant framework",,Implementation Research Logic Model,Implementation Research Logic Model,,,,,"Pre,During",,Implementation outcomes,,,"Adoption,Penetration,Sustainability","(IRLM, a combination of RE-AIM and CFIR)",Complete
186,Teleneurology Expansion in Response to the COVID-19 Outbreak at a Tertiary Health System in New York City,2021,Kummer,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,,USA,Outpatient specialist services ,,"""To assess the implementation of teleneurology (TN), including patient and clinician experiences, during the coronavirus respiratory disease 2019 (COVID-19) pandemic.""",Mixed-methods,Single site,"Process model,Determinant framework",,"CFIR, ERIC",,,CFIR,,,"Pre,During",,"Client outcomes,Implementation outcomes",,Satisfaction,"Acceptability,Adoption",,Complete
188,A systematic assessment on COVID-19 preparedness and transition strategy in Bangladesh,2020,Biswas,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,,Bangladesh,Whole health system,,"""The objective of this study is to theorize a CAS framework to evaluate the health system during a pandemic and assess the steps taken so far by Bangladesh for tackling the COVID-19 crisis up to June 15, 2020.""",Qualitative,Multi-site,"Determinant framework, Classic theory",,"Complexity theory, Complex Adaptive System Framework",,,Complex Adaptive System Framework,Complexity theory,,Post,,Service outcomes,Effectiveness,,,"CAS framework: agents, emergence, internal, and external environments  Discusses COVID-19 response in Bangladesh. Talks about testing protocols. ""Although a protocol has been designed, its implementation and accuracy require assessment"" with regard to reporting of multiple tests of the same patient , which creates problems with accurate reporting.     ""Bangladesh activated a six-level plan from preparedness to mitigation using the Infectious Disease (Prevention, Control, and Elimination) Act 2018 as the guiding document detailing the containment activities for the progressive development of COVID-19"" Poor communication, lack of adherence to quarantine, lack of equipment. Low effectiveness of COVID control",Complete
189,Assessment of Infection Prevention and Control (IPC) Implementation and Strategies Used for IPC Preparedness at Facility Level in Underdeveloped Areas of Pakistan,2023,Tahir,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,Pandemics,,,,,,Regional ,,Pakistan,Hospital ,,"""The aim of the study was to conduct assessment with the IPC Assessment Framework (IPCAF) tool in healthcare facilities of the least developed areas.""",Quantitative,Multi-site,Evaluation framework,,Infection prevention and control assessment framework (IPCAF) ,,,,,Infection prevention and control assessment framework (IPCAF) ,During,,None,,,,,Complete
191,Telehealth Implementation Response to COVID-19 in the OneFlorida+ Clinical Research Network: Perspectives of Clinicians and Health Systems Leaders,2023,Theis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,"Participants were a mix of professions, including health system leaders, primary care providers, and specialists. ",USA,"Hospital ,Outpatient specialist services ,Tele-services",,"""Specifically, we aimed to explore experiences and perspectives of HSLs and providers to characterize the readiness, implementation process, and sustainment of telehealth at OFCRC sites; identify the most salient factors that contributed to successful implementation; and explore the impact of implementation at the health system level after the lifting of stay-at-home restrictions.""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,Implementation outcomes,,,Acceptability,,Complete
192,Implementation of neurological group-based telerehabilitation within existing healthcare during the COVID-19 pandemic: a mixed methods evaluation,2023,Ackerley,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,Collaboration of healthcare trust and university. ,UK,"Hospital ,Outpatient specialist services ",,"""The aim of the current project was to adapt and implement a tailored version of NROL to see how it could be delivered when embedded within an existing healthcare system. Robust evaluation was undertaken alongside implementation to determine the appropriateness, acceptability, and to provide direction for sustained use.""",Mixed-methods,Multi-site,"Determinant framework,Evaluation framework",,"Proctor's framework, CFIR",,,CFIR,,Proctor Implementation Outcomes Framework,Post,,"Service outcomes,Client outcomes,Implementation outcomes",Safety,Function,"Acceptability,Appropriateness,Sustainability",,Complete
194,Development of a Framework for Addressing Skin Biopsy Tray Waste in Dermatology Clinics: A Quality Improvement Study,2023,Wolstencroft,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Climate hazard,,,General climate change,,No,,Single site,Stanford School of Dermatology Residency Program,USA,Outpatient specialist services ,,"""To develop and implement a systematic framework for decreasing skin biopsy tray waste in dermatology clinics.""",Quantitative,Single site,Process model,,Modified quality improvement cycle,Modified uality improvement cycle,,,,,Post,,Service outcomes,Efficiency,,,,Complete
198,Opportunities to Enhance the Implementation of Veterans Affairs Video-Based Care: Qualitative Perspectives of Providers from Diverse Specialties,2023,Slightam,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,"COVID-19,Future pandemic",,,,,,Regional ,,USA,"Hospital ,Outpatient specialist services ",,"""This study sought input from providers, given their role as critical participants in video visit implementation, to qualitatively describe successful strategies providers used to adapt their practices to a web-based care setting.""",Qualitative,Single site,Determinant framework,,ERIC ,,,ERIC ,,,Post,,None,,,,,Complete
205,Development of the Systems Thinking for Health Actions framework: a literature review and a case study,2023,Thelen,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,,Pakistan,Health management,,"""This study aimed to create a framework to expose systems thinking characteristics in the design and implementation of actions to improve health.""",Mixed-methods,Multi-site,Classic theory,,"Systems theory, creation of Systems Thinking for Health Actions Framework",,,Systems Thinking for Health Actions Framework,Systems theory,,Post,,None,,,,,Complete
212,Modifications in Primary Care Clinics to Continue Colorectal Cancer Screening Promotion During the COVID-19 Pandemic,2023,Arena,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,,USA,"Hospital ,Public health,Research centre, Other",,"""This study aimed to understand how CRCCP clinic partners may have modified EBI implementation to promote CRC screening during the COVID-19 pandemic; to identify barriers and facilitators to implementing modifications; and to extract lessons that can be applied to support CRC screening, chronic disease management, and clinic resilience in the face of future public health crises.""",Qualitative,Multi-site,Determinant framework,,"Components of FRAME-IS, CFIR",,,"Modified FRAME-IS,CFIR",,,Post,,None,,,,,Complete
217,Clinician Perspectives on Monoclonal Antibody Treatment for High-Risk Outpatients with COVID-19: Implications for Implementation and Equitable Access,2022,Kwan,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,USA,Outpatient specialist services ,,"""This study addresses this gap in the literature by assessing primary care, emergency care, and medical specialist clinician perspectives on knowledge, attitudes, perceived barriers, and experiences with referring patients for mAb treatment. We report results of a statewide survey in Colorado designed to rapidly assess health care provider experiences with and perspectives on factors related to dissemination and implementation of mAb referral systems and processes.""",Quantitative,Multi-site,Implementation theory,,Diffusion of Innovation Theory,,Diffusion of Innovation,,,,During,,Implementation outcomes,,,"Acceptability,Appropriateness,Feasibility",,Complete
220,"Policy implementation challenges and the ritualization of public health emergency plans: An investigation of urban communities in Jiangsu Province, China",2022,Zhang,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,China,Public health,,"""In order to explore the factors that lead to the abandonment or selective implementation of public health emergency plans, and thus help avoid their ritualization, this study proposes a framework for exploring the implementation of public health emergency plans based on Smith Policy-Implementation-Processing pattern. It represents a comprehensive model of both internal and external factors that influence the implementation of public health emergency plans.""",Mixed-methods,Multi-site,Classic theory,,Smith Policy-Implementation-Processing Framework,,,,Smith Policy-Implementation-Processing Framework,,Post,,None,,,,Smith Policy-Implementing-Process Framework  is a framework used to analyze the process of implementing policies. It was developed by Thomas B. Smith in 1973,Complete
223,Evaluation of a COVID-19 convalescent plasma program at a U.S. academic medical center,2022,Root,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,,USA,Hospital ,,"""Although implementation is typically focused on therapies with proven clinical efficacy, in the context of this novel rapidly spreading and fatal virus, therapeutic programs, like the UNCMC COVID-19 convalescent plasma (CCP) program, had to implement potential life-saving therapeutics before clinical effectiveness was known. Thus, in this report, we evaluate the impact of the UNCMC CCP program, patterning our evaluation after the dimensions of the Reach, Effectiveness, Adoption, Implementation, and Maintenance (RE-AIM) framework, which has been used extensively to guide program evaluations in clinical settings, including unconventional clinical settings""",Quantitative,Single site,Evaluation framework,,RE-AIM framework,,,,,RE-AIM,"During,Post",,"Service outcomes,Implementation outcomes",Effectiveness,,"Adoption,Penetration,Sustainability",,Complete
224,"Early Reflections on Mphatlalatsane, a Maternal and Neonatal Quality Improvement Initiative Implemented During COVID-19 in South Africa",2022,Odendaal,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,,South Africa,"Hospital ,Primary care ",,"""We describe a multipartnered MNH quality improvement (QI) initiative called Mphatlalatsane, which was implemented in South Africa before and during the COVID-19 pandemic.""",Process mapping,Multi-site,"Process model,Implementation theory",,"PDSA, Theory of Change","PDSA, Theory of Change Model",,,,,"During,Post",,None,,,,,Complete
226,"Staff and patient experience of the implementation and delivery of a virtual health care home monitoring service for COVID-19 in Melbourne, Australia",2022,Jessup,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,,Australia,Tele-services,,"The aim of this study was to explore the perspectives of staff involved with the implementation and delivery, and the experience of patients managed by, a Virtual Home Care (VHC) monitoring service in Melbourne, Australia during the COVID-19 pandemic.",Mixed-methods,Single site,Determinant framework,,CFIR,,,CFIR,,,Post,,Client outcomes,,Satisfaction,,,Complete
234,E-Health preparedness assessment in the context of an influenza pandemic: A qualitative study in China,2013,Li,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,H1N1,,,,,,Single site,"Hospital in Beijing, China",China,Hospital ,,"To assess the preparedness status of a  hospital in Beijing, China for implementation of an  e-Health system in the context of a pandemic  response",Qualitative,Single site,Determinant framework,,"Integrated e-Health preparedness framework. "" e-Health Readiness Assessment  Framework for Public Health Services-Pandemic Perspective.""",,,Integrated e-Health preparedness framework.,,,Post,,Implementation outcomes,,,"Acceptability,Cost,Feasibility","Examined ""motivational, engagement, technological, resource and societal preparedness for the prospective e-Health system implementation"" in a Beijing Hospital to determine preparedness for e-health implementation. Interviews to determine experiences during N1H1 outbreak. Barriers and facilitators under ""The preparedness issues were discussed within  the five areas: (1) motivational forces for change;  (2) healthcare providers' exposure to e-Health;  (3) technological preparedness; (4) organisational non-technical ability to support a clinical ICT innovation and (5) sociocultural issues at the organisation in association with EHR implementation and a pandemic response.""    Concerns about cost of implementing IT systems.  Lack of internet access (Feasibility) of using system.   Acceptability: doctors liked the ICT systems",Complete
235,Organizational factors associated with health worker protection during the COVID-19 pandemic in four provinces of South Africa.,2021,Zungu,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,45 hospitals across four provinces in South Africa,South Africa,Hospital ,,""" This study aimed to assess how South Africa, prepared to protect its health workers from SARS-CoV-2 infection.""",Qualitative,Multi-site,Classic theory,,Participatory action research,,,,Participatory action research,,Post,,Service outcomes,"Safety,Effectiveness",,,Used the International Labour Organization (ILO) and World Health Organization (WHO) HealthWISE tool and interviews to assess occupational health and safety implementation for health workers during COVID.   Site that had a COVID OHS policy in place had better PPE use and ventilation had better compliance and lower infection rates. ,Complete
237,Inpatient Telemedicine Implementation as an Infection Control Response to COVID-19: Qualitative Process Evaluation Study.,2021,Safaeinili,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"Large academic health center-Stanford Health Care, Palo Alto, California, USA",USA,Tele-services,,"""To inform these efforts, this paper aims to provide an early example of inpatient telemedicine implementation and its perceived acceptability and effectiveness.""",Qualitative,Single site,Evaluation framework,,RE-AIM,,,,,RE-AIM,Post,,"Service outcomes,Client outcomes,Implementation outcomes","Efficiency,Effectiveness",Function,"Adoption,Appropriateness,Fidelity,Sustainability","following themes emerged: (1) implementation setting and climate, (2) clinical team workflows around inpatient telemedicine, (3) clinical team satisfaction with inpatient telemedicine, (4) perceived impacts on patients, (5) limitations of inpatient telemedicine, and (6) anticipated future uses of inpatient telemedicine.    Adoption - near universal across attending and resident physicians and nurses who cared for patients on the COVID-19 designated inpatient unit    Appropriateness - Nurses shared that inpatient telemedicine was primarily used for hourly assessments of each inpatient, which is considered best practice in nursing care, and was often a satisfactory alternate to an in-person encounter.    Fidelity - ""Nurse-led adaptations of the technology that supported patient care included the following: (1) acquiring an extra tablet at the nursing station through IT to be able to monitor and provide 24/7 visualization of a delirious patient with dementia who was a fall risk and (2) facilitating communication between patients and family members, particularly in acute care situations""    Note: they only used the term Adoption.     Efficiency - improved workflow for doctors. More work for nurses having to help set up calls.     Clinical outcomes - Perceived patient impact subthemes included consistent quality of care, privacy considerations, and limitations of inpatient telemedicine, particularly with respect to communication, physical exams, and patient-clinical team connection.    Sustainability - ""inpatient telemedicine might expand beyond use in patients with COVID-19 in future use cases. Contexts favorable to telemedicine use included those with patients who were comfortable with the technology and were clinically stable and mentally coherent. """,Complete
238,Academic health science networks' experiences with rapid implementation practice during the COVID-19 pandemic in England.,2022,Ziemann,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,"Academic Health Science Networks (AHSNs), which are officially mandated with facilitating the implementation of innovations in the English National Health System (NHS)",UK,Research centre,,"""Our aim was to explore implementation practice of Academic Health Science Networks (AHSN) in the English National Health System during the first wave of the COVID-19 pandemic through a rapid implementation lens.""",Qualitative,Multi-site,Evaluation framework,,"""framework analysis approach using the rapid implementation conceptualization by Smith et al. (2) in combination with a realist-type approach deriving themes around context, practice (realist-type mechanism) and outcomes ",,,,Realism/realist perspective,Rapid Implementation (Smith et al. 2020),Post,,"Service outcomes,Implementation outcomes","Safety,Effectiveness",,"Acceptability,Fidelity,Sustainability","""We identified themes around contextual characteristics enabling rapid implementation (realist-type context: changes to implementation context as consequence of the COVID-19 pandemic), of speed and efficiency (realist-type outcome: characteristics of rapid implementation as implementation outcome), and of redefined rigor and adapted methods (realist-type mechanism: implementation practice aimed at achieving rapid implementation).""    ""Rapid implementation practice was characterized by a move to more of an agile and adaptive implementation approach, the acceleration of existing innovations and building on existing stakeholder relationships, remote stakeholder engagement, and ensuring safety, quality, rigor and sustainability, and generating new evidence through rapid testing and evaluation.""    Acceptability - ""AHSNs saw a change in the mindset in those involved in implementing innovations in terms of accepting risk."" (more likely to accept new programs during COVID). ",Complete
241,Using Implementation Science to Understand Teledermatology Implementation Early in the COVID-19 Pandemic: Cross-sectional Study.,2022,Briggs,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,Association of Professors of Dermatology (APD) using telehealth.,USA,Tele-services,,"""Our goal was to use validated tools from implementation science to develop a deeper understanding of the implementation of teledermatology during the COVID-19 pandemic. Our primary aims were to describe (1) the acceptability and feasibility of the implementation of teledermatology and (2) organizational readiness for the implementation of teledermatology during the COVID-19 pandemic.""",Qualitative,Multi-site,"Classic theory,Evaluation framework",,"""Organizational Readiness to Change Assessment (ORCA) instrument""     ""used an abbreviated, single-item version of a validated scale [9] to assess the acceptability of different teledermatology modalities (eg, synchronous audio and video and stored digital photos).""",,,,Organizational Readiness to Change,"Organizational Readiness to Change Assessment (ORCA), Acceptability of Intervention Measure (AIM) Questionnaire",Post,,Implementation outcomes,,,"Acceptability,Appropriateness,Feasibility","Feasibility - accessed organisational readiness.     Acceptability/Appropriateness & Feasibility - ""telephone and synchronous audio and video visits were the least acceptable and feasible modalities, whereas modalities that combined stored digital photos with telephone visits or synchronous audio and video visits were the most acceptable and feasible modalities""    ""acceptability of teledermatology based on the type of dermatologic condition and visit""    High organisational readiness associated with ""aid that they plan to continue using teledermatology after the pandemic"" These had sufficient financing, training and facilities. ",Complete
242,"Lessons learnt of the COVID-19 contact tracing strategy in Islamabad Capital Territory, Pakistan using systems thinking processes.",2022,Zafar,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,"""Islamabad was selected for inquiry because this district developed a model COVID-19 contact tracing system which is under direct supervision of the NCOC and the MNHSRC. Another reason for its selection is that the proximity of research team to the district health office facilitated engagement as the COVID-19 restrictions tightened.""",Pakistan,Public health,,"""In this study we use a combination of system thinking tools-process mapping, reflective practice and stakeholder mapping-to extract the lessons learned and identify leverage points that could make the contact tracing system more efficient and responsive to the changing needs of the pandemic."" ""We conducted a qualitative case study using systems thinking tools to undertake a deep dive of the COVID-19 contact tracing system in Islamabad.""",Qualitative,Multi-site,Classic theory,,Systems theory (and Systems thinking for health services),,,,Systems theory,,Post,,Implementation outcomes,,,"Acceptability,Feasibility",Data collection was conducted between August  and November 2020 but does not say explicitly when 'intervention' started so potentially could be 'sustainment' as well.     Also included tools such as process mapping and stakeholder consultations,Complete
244,SMS-based digital health intervention in Rwanda's home-based care program for remote management of COVID-19 cases and contacts: A qualitative study of sustainability and scalability.,2023,Babili,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,,Rwanda,Tele-services,,"""This study explored the rationale, perspectives, and experiences of key informants (KIs) during the implementation WelTel's mHealth tool for Home-based care (HBC0 in Rwanda.""",Qualitative,Multi-site,Determinant framework,,Modified CFIR,,,Modified CFIR,,,Post,,"Service outcomes,Implementation outcomes","Efficiency,Safety,Effectiveness",,"Acceptability,Adoption,Appropriateness,Cost,Feasibility","""They shared the perception that for a Digital health interventions (DHI) to be scalable in a pandemic, it must be efficient and effective at reaching a large number of cases on time""    Safety - ""Two-way messaging and on-demand communication were highlighted as important factors to selecting WelTel compared to other DHIs that fall short in this regard. They were considered important aspects for optimal and safe remote case management and support""    Efficiency - WelTel electronic is more efficient than paper.     Cost - ""Cost was broken into two types: 1-cost incurred by implementation agency; 2-cost incurred by cases and contacts.""    Acceptability - ""All participants welcomed the use of WelTel and seemed to share the enthusiasm of local policies in the adoption of DHIs""    Adoption - Barrier:  both sides had to have the app. If no internet, then this was a barrier. ""technical issues and poor system interoperability were identified as barriers to the adoption and scale-up of WelTel for HBC""    Appropriateness - Captured data on patients, allowed two way information, some patients continued to use the app after they were well. ",Complete
245,The Rapid Development of Virtual Care Tools in Response to COVID-19: Case Studies in Three Australian Health Services,2022,Gray,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,"three health services in the State of Victoria, Australia. Austin Health (site A) and Melbourne Health (site C) are major metropolitan hospitals providing acute care and community services, and Bendigo Health (site B) is a major rural health alliance with 17 partner services.",Australia,"Hospital , Community care",,"""The aim of this study was to provide insight into organizational readiness for future virtual models of care or service delivery through close examination of the evolution of virtual care tools during COVID-19 at three health services in Victoria, Australia.""",Qualitative,Multi-site,Classic theory,,Organizational readiness  ,,,,Organizational readiness to change,,Post,,"Service outcomes,Implementation outcomes","Effectiveness,Equity,Patient-centredness",,"Adoption,Appropriateness,Feasibility,Sustainability","Patient-centredness - ""configured to send the text to a carer, not just the patient"". Patients feel cared for at home. Stay in hospital only as long as needed.   ""Postimplementation evaluation was mainly informal and based on functional user acceptance and utilization numbers."" For medical users, not for patients. Patients not part of development.     Adoption - In the absence of shared, centralized management of hospital information systems, the sites in this study mobilized informal communities of practice.    Sustainability - ""This approach to sustain and extend the use of virtual care solutions beyond the health crisis will depend on shifts in digital health regulation and resourcing.""    Feasibility - many workarounds - ""Solutions assumed that the majority of people had ready access to internet-connected phones or tablets.""    Organisational maturity - determines readiness, need staff to drive change.     Equity - ""regarding time to deployment versus equity of access"" tradeoffs with some people not having access to the service due to IT constraints. ",Complete
246,Evaluation of COVID-19 vaccine implementation in a large safety net health system.,2023,Chen,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,Los Angeles County Department of Health Services (LACDHS),USA,Public health,,"""To evaluate rapid COVID-19 vaccine clinic implementation from January-April 2021 in the Los Angeles County Department of Health Services (LACDHS), the second-largest US safety net health system""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,Post,,"Service outcomes,Implementation outcomes","Efficiency,Equity,Patient-centredness",,"Acceptability,Feasibility,Fidelity","Equity - ""distributing vaccine accordingly to vulnerable communities experiencing significant racial and economic inequities due to the COVID-19 pandemic""    Fidelity - standardisation worked to an extent but clinics all adapted to meet their local needs and teams (staffing and space).     Fidelity - eligibility tiers caused ethical dilemma (more vaccine doses than patients so would have to dispose of vials with doses still available)    Feasibility - lack of freezers made distribution difficult.     Acceptability - ""vaccine hesitancy and misinformation at all points of patient contact""    Efficiency - changing workflows to create more efficient vaccine delivery. on-demand video training for nurses (instead of in-person)    Patient-centredness - ""patient safety, comfort, and experience were of paramount importance. Participants reported designating places for patients to lie down, socially distanced observation areas, and providing free personal protective equipment and outdoor heating."" ",Complete
251,An app-based intervention to support first responders and essential workers during the COVID-19 pandemic: Needs assessment and mixed methods implementation study,2021,Vilendrer,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,District / county ,"First responder interview participants were recruited from Bay Area county police, fire, and EMS departments and among physicians connected to the health system's EMS physician  fellowship. Essential worker interview participants were recruited from local grocery stores, gas stations, care facilities,  and civil infrastructure support businesses.",USA,ED,,"We aimed to evaluate the adoption, acceptability, and appropriateness of an academic medical center-sponsored app-based intervention (COVID-19 Guide App) designed to support access of first responders and essential workers to COVID-19 information and testing services. We also sought to better understand the COVID-19-related needs of these workers early in the  pandemic.",Mixed-methods,Multi-site,"Evaluation framework, Determinant Framework",,"Proctor Implementation Outcomes Framework, CFIR",,, CFIR,,Proctor Implementation Outcomes Framework,Post,,"Service outcomes,Implementation outcomes",Timeliness,,"Acceptability,Adoption,Appropriateness",,Complete
291,Urgent COVID-19 Vaccination of Healthcare Workers via a Quality Improvement Initiative.,2021,Baumer-Mouradian,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"This children's health system is a free-standing, not-for-profit pediatric academic center located in Milwaukee, Wis., and comprises a tertiary care hospital and primary and specialty pediatric care services.",USA,"Hospital ,Primary care ",,"Complete the two-dose vaccine   series in all interested phase 1a staff immediately after the COVID-19 vaccine was available and distributed to our institution,   December 14, 2020. ",Quantitative,Single site,Process model,,PDSA,PDSA,,,,,During,,"Service outcomes,Client outcomes,Implementation outcomes",Effectiveness,Satisfaction,"Acceptability,Adoption,Appropriateness","Inferred the implementation outcomes - need to be verified. I took ""clients"" as the HCPs in this case (not patients) as they were the ones receiving the intervention (vaccines)",Complete